source,target,weight,shared_episode_count,association_strength,display_width
Gustav,Margherita Erdmann,0.07692,1,0.14142,0.2195
Pirate Prentice,Sammy Hilbert-Spaess,0.07692,1,0.16667,0.2195
G. M. B. Haftung,Tchitcherine,0.0765,2,0.33333,0.2189
Enzian,Frau Gnahb,0.07633,2,0.1865,0.2186
Laszlo Jamf,Marvy,0.07589,2,0.12309,0.218
Gustav,Jerome / Jeremy,0.07547,1,0.16903,0.2174
Gustav,Jessica Swanlake,0.07547,1,0.13484,0.2174
Nora Dodson-Truck,Tyrone Slothrop,0.07538,2,0.17025,0.2173
Ned Pointsman,Stephen Dodson-Truck,0.07511,2,0.18257,0.2169
Frau Gnahb,G. M. B. Haftung,0.07492,2,0.63246,0.2166
Dr. Porkyevitch,Tyrone Slothrop,0.07442,3,0.25538,0.2159
Enzian,Pirate Prentice,0.07347,4,0.19659,0.2145
Blodgett Waxwing,Hilary Bounce,0.07317,2,0.43644,0.2141
Drohne,Gottfried,0.07317,1,0.37796,0.2141
Emil Säure Bummer,Greta Erdmann,0.07314,5,0.43519,0.214
Laszlo Jamf,Thanatz,0.07259,4,0.24618,0.2132
Clive Mossmoon,Milton Gloaming,0.07188,2,0.35355,0.2122
Sir Marcus Scammony,Weissmann / Blicero,0.07143,1,0.15076,0.2115
Dr. Aaron Throwster,Ned Pointsman,0.07118,3,0.33541,0.2111
Dr. Aaron Throwster,Webley Silvernail,0.07118,3,0.61237,0.2111
Gerhardt von Göll,Pavel,0.07087,1,0.1118,0.2107
Osbie Feel,Pavel,0.07087,1,0.22361,0.2107
Otto,Pavel,0.07087,1,0.28868,0.2107
Hilary Bounce,Katje Borgesius,0.07081,2,0.26491,0.2106
Dr. Aaron Throwster,Edwin Treacle,0.07074,3,0.67082,0.2105
Joseph Ombindi,Weissmann / Blicero,0.07049,3,0.3198,0.2101
Gerhardt von Göll,Zhdaev,0.07036,2,0.31623,0.2099
Otto,Zhdaev,0.07036,2,0.8165,0.2099
Tchitcherine,Zhdaev,0.07036,2,0.33333,0.2099
Tyrone Slothrop,Zhdaev,0.07036,2,0.20851,0.2099
Margherita Erdmann,Tchitcherine,0.07011,3,0.22361,0.2095
Katje Borgesius,Thanatz,0.06981,3,0.19868,0.2091
Géza Rózsavölgyi,Milton Gloaming,0.06944,1,0.22361,0.2085
Ned Pointsman,Osbie Feel,0.06929,3,0.3,0.2083
Max Schlepzig,Tchitcherine,0.06891,4,0.28427,0.2077
Nora Dodson-Truck,Roger Mexico,0.06856,3,0.40825,0.2072
Nora Dodson-Truck,Stephen Dodson-Truck,0.06843,2,0.4714,0.207
Emil Säure Bummer,Gustav,0.06837,4,0.53936,0.2069
Ernest Pudding,Stephen Dodson-Truck,0.06817,2,0.2582,0.2066
Emil Säure Bummer,Tchitcherine,0.0681,5,0.35533,0.2065
Enzian,Gottfried,0.06776,3,0.23643,0.206
Dr. Porkyevitch,Ned Pointsman,0.06713,3,0.3873,0.205
Gerhardt von Göll,Krupp,0.06708,3,0.25355,0.205
Clive Mossmoon,Gerhardt von Göll,0.06685,2,0.15811,0.2046
Gerhardt von Göll,Ludwig,0.06676,3,0.27386,0.2045
Franz Pökler,Gerhardt von Göll,0.06673,3,0.22361,0.2044
Greta Erdmann,Tchitcherine,0.06642,4,0.27217,0.204
Dzabajev,Marvy,0.06602,2,0.33333,0.2033
Blodgett Waxwing,Mario Schweitar,0.06584,2,0.53452,0.2031
Laszlo Jamf,Mario Schweitar,0.06584,2,0.30151,0.2031
Mario Schweitar,Tyrone Slothrop,0.06584,2,0.20851,0.2031
Joseph Ombindi,Maria (Christian's sister),0.06579,2,0.57735,0.203
Blodgett Waxwing,Graciela Imago Portales,0.06527,2,0.43644,0.2022
Graciela Imago Portales,Laszlo Jamf,0.06527,2,0.24618,0.2022
Dennis Joint,Katje Borgesius,0.06522,1,0.22942,0.2021
Dennis Joint,Ned Pointsman,0.06522,1,0.22361,0.2021
Dennis Joint,Roger Mexico,0.06522,1,0.2357,0.2021
Dennis Joint,Tyrone Slothrop,0.06522,1,0.14744,0.2021
Chu Piang,Enzian,0.06522,1,0.20851,0.2021
Chu Piang,Tchitcherine,0.06522,1,0.2357,0.2021
Katje Borgesius,Marvy,0.06513,2,0.13245,0.202
Lyle Bland,Marvy,0.06509,3,0.32733,0.2019
Blodgett Waxwing,Semyavin,0.06504,1,0.37796,0.2018
Laszlo Jamf,Semyavin,0.06504,1,0.2132,0.2018
Semyavin,Tyrone Slothrop,0.06504,1,0.14744,0.2018
Clive Mossmoon,Roland,0.06494,1,0.17678,0.2017
Milton Gloaming,Roland,0.06494,1,0.25,0.2017
Felix,Gerhardt von Göll,0.06475,1,0.15811,0.2014
Felix,Otto,0.06475,1,0.40825,0.2014
Felix,Tchitcherine,0.06475,1,0.16667,0.2014
Felix,Tyrone Slothrop,0.06475,1,0.10426,0.2014
Marvy,Spontoon,0.06369,1,0.28868,0.1997
Seaman Bodine,Spontoon,0.06369,1,0.33333,0.1997
Spontoon,St. John Bladdery,0.06369,1,1.0,0.1997
Spontoon,Tyrone Slothrop,0.06369,1,0.14744,0.1997
Dr. Rollo Groast,Weissmann / Blicero,0.06332,4,0.34816,0.1991
G. M. B. Haftung,Zhdaev,0.06317,2,1.0,0.1989
Frau Gnahb,Pavel,0.06299,1,0.22361,0.1986
Dr. Rollo Groast,Reverend Paul de la Nuit,0.06294,2,0.4714,0.1985
Gustav,Magda,0.06292,3,0.7746,0.1985
Ned Pointsman,Reverend Paul de la Nuit,0.06255,2,0.2582,0.1979
Dr. Rollo Groast,Myron Grunton,0.06254,4,0.7303,0.1979
Allen Lamplighter,Dr. Rollo Groast,0.0625,1,0.2357,0.1978
Allen Lamplighter,Edwin Treacle,0.0625,1,0.2582,0.1978
Allen Lamplighter,Nora Dodson-Truck,0.0625,1,0.33333,0.1978
Allen Lamplighter,Peter Sachsa,0.0625,1,0.20412,0.1978
Allen Lamplighter,Walter Asch,0.0625,1,0.57735,0.1978
Carroll Eventyr,Walter Asch,0.0625,1,0.40825,0.1978
Dr. Rollo Groast,Walter Asch,0.0625,1,0.40825,0.1978
Edwin Treacle,Walter Asch,0.0625,1,0.44721,0.1978
Nora Dodson-Truck,Walter Asch,0.0625,1,0.57735,0.1978
Peter Sachsa,Walter Asch,0.0625,1,0.35355,0.1978
Gerhardt von Göll,Sir Marcus Scammony,0.06232,2,0.31623,0.1976
Sir Marcus Scammony,Tyrone Slothrop,0.06232,2,0.20851,0.1976
Emil Säure Bummer,Laszlo Jamf,0.0623,3,0.19285,0.1975
Clive Mossmoon,Dr. Aaron Throwster,0.06209,2,0.35355,0.1972
Dr. Aaron Throwster,Ernest Pudding,0.06209,2,0.31623,0.1972
Dr. Aaron Throwster,Tyrone Slothrop,0.06209,2,0.14744,0.1972
Katje Borgesius,Webley Silvernail,0.06202,4,0.37463,0.1971
Myron Grunton,Webley Silvernail,0.06165,4,0.7303,0.1965
Katje Borgesius,Nora Dodson-Truck,0.06149,2,0.26491,0.1962
Dr. Rollo Groast,Stephen Dodson-Truck,0.06122,1,0.16667,0.1958
Stephen Dodson-Truck,Webley Silvernail,0.06122,1,0.16667,0.1958
Edwin Treacle,Weissmann / Blicero,0.0612,4,0.38139,0.1958
Horst Achtfaden,Tyrone Slothrop,0.06108,3,0.19781,0.1956
Seaman Bodine,Tchitcherine,0.06091,3,0.2357,0.1953
Edwin Treacle,Webley Silvernail,0.06078,3,0.54772,0.1951
Peter Sachsa,Roger Mexico,0.06071,3,0.25,0.195
Dzabajev,Geli Tripping,0.06061,1,0.20412,0.1948
Andreas Orukambe,Charles,0.06061,1,0.25,0.1948
Andreas Orukambe,Horst Achtfaden,0.06061,1,0.15811,0.1948
Andreas Orukambe,Sheila,0.06061,1,0.35355,0.1948
Geli Tripping,Margherita Erdmann,0.0599,4,0.44721,0.1937
Blodgett Waxwing,Pirate Prentice,0.05958,2,0.17817,0.1932
Ned Pointsman,Pavel,0.05898,2,0.22361,0.1922
Laszlo Jamf,Max Schlepzig,0.05883,4,0.25713,0.1919
Allen Lamplighter,Tyrone Slothrop,0.05882,1,0.08513,0.1919
Dromond,Tyrone Slothrop,0.05882,1,0.10426,0.1919
Carroll Eventyr,Milton Gloaming,0.05857,2,0.40825,0.1915
Laszlo Jamf,Thomas Gwenhidwy,0.05819,3,0.28604,0.1909
Emil Säure Bummer,Katje Borgesius,0.05814,3,0.20751,0.1908
Carroll Eventyr,Thomas Gwenhidwy,0.05808,2,0.36515,0.1907
Andre Omnopon,Gustav,0.05794,2,0.63246,0.1905
Andre Omnopon,Seaman Bodine,0.05794,2,0.4714,0.1905
Ernest Pudding,Jerome / Jeremy,0.05784,3,0.35857,0.1903
Ernest Pudding,Pirate Prentice,0.05783,4,0.29814,0.1903
Carroll Eventyr,Clive Mossmoon,0.05783,2,0.28868,0.1903
Frau Gnahb,Katje Borgesius,0.05781,2,0.2052,0.1903
Jessica Swanlake,Weissmann / Blicero,0.05768,3,0.19285,0.1901
Bert Fibel,Horst Achtfaden,0.05751,3,0.7746,0.1898
Dr. Rollo Groast,Jessica Swanlake,0.05735,3,0.36927,0.1895
Albert Krypton,Manuela,0.05732,1,1.0,0.1895
Albert Krypton,Marvy,0.05732,1,0.28868,0.1895
Albert Krypton,Seaman Bodine,0.05732,1,0.33333,0.1895
Albert Krypton,Spontoon,0.05732,1,1.0,0.1895
Albert Krypton,St. John Bladdery,0.05732,1,1.0,0.1895
Albert Krypton,Tyrone Slothrop,0.05732,1,0.14744,0.1895
Manuela,Marvy,0.05732,1,0.28868,0.1895
Manuela,Seaman Bodine,0.05732,1,0.33333,0.1895
Manuela,Spontoon,0.05732,1,1.0,0.1895
Manuela,St. John Bladdery,0.05732,1,1.0,0.1895
Manuela,Tyrone Slothrop,0.05732,1,0.14744,0.1895
Kurt Mondaugen,Laszlo Jamf,0.05732,3,0.28604,0.1895
Carroll Eventyr,Leni Pökler,0.0572,2,0.36515,0.1893
Leni Pökler,Nora Dodson-Truck,0.0572,2,0.5164,0.1893
Carroll Eventyr,Pirate Prentice,0.05714,2,0.19245,0.1892
Carroll Eventyr,Roland,0.05714,2,0.40825,0.1892
Beláustegui,Blodgett Waxwing,0.05714,1,0.26726,0.1892
Beláustegui,Laszlo Jamf,0.05714,1,0.15076,0.1892
Beláustegui,Seaman Bodine,0.05714,1,0.2357,0.1892
Graciela Imago Portales,Seaman Bodine,0.05714,1,0.19245,0.1892
Gerhardt von Göll,Horst Achtfaden,0.05709,3,0.3,0.1891
Hilary Bounce,Tamara,0.05691,2,0.8165,0.1888
Mario Schweitar,Semyavin,0.05691,1,0.70711,0.1888
Roger Mexico,Teddy Bloat,0.05679,3,0.2357,0.1886
Franz Pökler,Horst Achtfaden,0.05662,2,0.29814,0.1883
Frau Gnahb,Pirate Prentice,0.0566,3,0.31623,0.1883
Austin Quoad,Darlene,0.0566,1,0.5,0.1883
Austin Quoad,Quoad,0.0566,1,0.70711,0.1883
Austin Quoad,Tyrone Slothrop,0.0566,1,0.14744,0.1883
Katje Borgesius,Tchitcherine,0.05651,3,0.16222,0.1881
Katje Borgesius,Pavel,0.0565,2,0.22942,0.1881
Franz Pökler,Margherita Erdmann,0.05625,2,0.21082,0.1877
Graciela Imago Portales,Tyrone Slothrop,0.05575,2,0.17025,0.1868
Broderick Slothrop,Emil Säure Bummer,0.05531,4,0.53936,0.1861
Frau Gnahb,Tchitcherine,0.05492,2,0.21082,0.1854
Frans van der Groov,Gerhardt von Göll,0.05464,3,0.3873,0.185
Greta Erdmann,Gustav,0.05459,2,0.2582,0.1849
Laszlo Jamf,Peter Sachsa,0.05458,3,0.22613,0.1849
Katje Borgesius,Michele,0.05455,1,0.16222,0.1848
Katje Borgesius,Roland,0.05455,1,0.11471,0.1848
Michele,Roland,0.05455,1,0.35355,0.1848
Dennis Joint,Floyd Perdoo,0.05435,1,1.0,0.1845
Floyd Perdoo,Katje Borgesius,0.05435,1,0.22942,0.1845
Floyd Perdoo,Ned Pointsman,0.05435,1,0.22361,0.1845
Floyd Perdoo,Roger Mexico,0.05435,1,0.2357,0.1845
Floyd Perdoo,Tyrone Slothrop,0.05435,1,0.14744,0.1845
Franz Pökler,Roland,0.05405,1,0.16667,0.184
Emil Säure Bummer,Magda,0.05389,2,0.34816,0.1837
Jerome / Jeremy,Milton Gloaming,0.05375,2,0.37796,0.1835
Jerome / Jeremy,Pirate Prentice,0.05375,2,0.17817,0.1835
Max Schlepzig,Seaman Bodine,0.05317,2,0.20101,0.1825
Dr. Kevin Spectro,Jessica Swanlake,0.05263,1,0.15076,0.1815
Franz Pökler,Max Schlepzig,0.05263,1,0.1005,0.1815
Joseph Ombindi,Krupp,0.05263,1,0.18898,0.1815
Joseph Ombindi,Laszlo Jamf,0.05263,1,0.1066,0.1815
Joseph Ombindi,Pavel,0.05263,1,0.25,0.1815
Blodgett Waxwing,Frans van der Groov,0.05263,1,0.21822,0.1815
Blodgett Waxwing,Gustav,0.05263,1,0.16903,0.1815
Frans van der Groov,Gustav,0.05263,1,0.2582,0.1815
Frans van der Groov,Laszlo Jamf,0.05263,1,0.12309,0.1815
Frans van der Groov,Tyrone Slothrop,0.05263,1,0.08513,0.1815
Clive Mossmoon,Myron Grunton,0.05255,3,0.47434,0.1814
Dr. Porkyevitch,Ernest Pudding,0.05253,2,0.36515,0.1814
Dr. Porkyevitch,Roger Mexico,0.05253,2,0.27217,0.1814
Katje Borgesius,Lyle Bland,0.05246,3,0.26013,0.1813
Gerhardt von Göll,Magda,0.05228,2,0.2582,0.1809
Edwin Treacle,Myron Grunton,0.05213,4,0.8,0.1807
Ludwig,Tchitcherine,0.05199,2,0.19245,0.1804
Clive Mossmoon,Jerome / Jeremy,0.05179,3,0.40089,0.1801
Clive Mossmoon,Edwin Treacle,0.05169,2,0.31623,0.1799
Dr. Kevin Spectro,Laszlo Jamf,0.05125,2,0.2132,0.1791
Dr. Aaron Throwster,Roger Mexico,0.0512,3,0.35355,0.1791
Gerhardt von Göll,Webley Silvernail,0.05115,3,0.27386,0.179
Osbie Feel,Webley Silvernail,0.05115,3,0.54772,0.179
Krupp,Marvy,0.05101,3,0.32733,0.1787
Dr. Aaron Throwster,Myron Grunton,0.05078,3,0.67082,0.1783
Jessica Swanlake,Teddy Bloat,0.05073,2,0.20101,0.1782
Milton Gloaming,Teddy Bloat,0.05073,2,0.33333,0.1782
Jessica Swanlake,Katje Borgesius,0.05042,2,0.13834,0.1777
Felix,Hilde,0.05036,1,0.70711,0.1776
Felix,Zhdaev,0.05036,1,0.5,0.1776
Gerhardt von Göll,Hilde,0.05036,1,0.22361,0.1776
Hilde,Otto,0.05036,1,0.57735,0.1776
Hilde,Tchitcherine,0.05036,1,0.2357,0.1776
Hilde,Tyrone Slothrop,0.05036,1,0.14744,0.1776
Hilde,Zhdaev,0.05036,1,0.70711,0.1776
Dr. Aaron Throwster,Weissmann / Blicero,0.05033,3,0.3198,0.1775
Myron Grunton,Pirate Prentice,0.05033,3,0.31623,0.1775
Crutchfield,Villard Dumpster,0.05,1,0.70711,0.177
Malcolm / Red (Roseland shoeshine boy),Villard Dumpster,0.05,1,0.5,0.177
Villard Dumpster,Whappo,0.05,1,0.5,0.177
Hogan,Tantivy Mucker-Maffick,0.04994,5,0.62994,0.1768
Emil Säure Bummer,Enzian,0.04957,3,0.18861,0.1762
Emil Säure Bummer,Margherita Erdmann,0.04948,3,0.28604,0.176
Myron Grunton,Weissmann / Blicero,0.04946,3,0.28604,0.176
Geli Tripping,Gerhardt von Göll,0.04942,3,0.23717,0.1759
Gerhardt von Göll,Roger Mexico,0.04912,3,0.15811,0.1754
Gerhardt von Göll,Peter Sachsa,0.04905,3,0.23717,0.1753
Blodgett Waxwing,Michele,0.04878,1,0.26726,0.1748
Michele,Tamara,0.04878,1,0.5,0.1748
Drohne,Katje Borgesius,0.04878,1,0.22942,0.1748
Drohne,Max Schlepzig,0.04878,1,0.30151,0.1748
Gottfried,Margherita Erdmann,0.04873,3,0.35857,0.1747
Carroll Eventyr,Ned Pointsman,0.04865,2,0.18257,0.1745
Pavel,Pirate Prentice,0.04862,2,0.2357,0.1745
Broderick Slothrop,Seaman Bodine,0.04849,2,0.29814,0.1743
Webley Silvernail,Weissmann / Blicero,0.04824,4,0.34816,0.1738
Katje Borgesius,Ludwig,0.04786,2,0.18732,0.1731
Andre Omnopon,Roger Mexico,0.04784,2,0.33333,0.1731
Enzian,Franz Pökler,0.0478,3,0.20851,0.173
Clive Mossmoon,Graciela Imago Portales,0.04762,1,0.20412,0.1727
Enzian,Graciela Imago Portales,0.04762,1,0.12039,0.1727
Graciela Imago Portales,Marvy,0.04762,1,0.16667,0.1727
Graciela Imago Portales,Ned Pointsman,0.04762,1,0.1291,0.1727
Graciela Imago Portales,Sir Marcus Scammony,0.04762,1,0.40825,0.1727
Graciela Imago Portales,Tchitcherine,0.04762,1,0.13608,0.1727
Graciela Imago Portales,Weissmann / Blicero,0.04762,1,0.12309,0.1727
Laszlo Jamf,Tantivy Mucker-Maffick,0.04723,2,0.14213,0.172
Edwin Treacle,Laszlo Jamf,0.04706,1,0.09535,0.1717
Tchitcherine,William Slothrop,0.047,2,0.2357,0.1716
Peter Sachsa,Weissmann / Blicero,0.04698,3,0.22613,0.1715
Sigmund (Bad Karma companion),Thanatz,0.04685,2,0.40825,0.1713
Carroll Eventyr,Weissmann / Blicero,0.04681,2,0.17408,0.1712
Tchitcherine,Thanatz,0.04663,3,0.20412,0.1709
Emil Säure Bummer,Frau Gnahb,0.04655,4,0.53936,0.1707
Kurt Mondaugen,Peter Sachsa,0.04645,2,0.31623,0.1706
Tantivy Mucker-Maffick,Tchitcherine,0.04617,2,0.15713,0.17
Enzian,Max Schlepzig,0.04605,4,0.25148,0.1698
Ludwig,Thanatz,0.04593,2,0.2357,0.1696
Frau Gnahb,Ned Pointsman,0.04574,2,0.2,0.1692
Geli Tripping,Katje Borgesius,0.04552,2,0.16222,0.1688
Emil Säure Bummer,Pirate Prentice,0.04548,3,0.2132,0.1688
Pirate Prentice,Seaman Bodine,0.04548,3,0.2357,0.1688
Steve Edelman,Weissmann / Blicero,0.04545,2,0.30151,0.1687
Hogan,Seaman Bodine,0.0452,2,0.25198,0.1682
Hogan,Weissmann / Blicero,0.0452,2,0.16116,0.1682
Carroll Eventyr,Teddy Bloat,0.04502,2,0.27217,0.1679
Ned Pointsman,Seaman Bodine,0.04501,3,0.22361,0.1679
Emil Säure Bummer,Marvy,0.04495,3,0.26112,0.1678
Carroll Eventyr,Jerome / Jeremy,0.04484,2,0.30861,0.1676
Enzian,Procalowski,0.04465,2,0.24077,0.1672
Katje Borgesius,Procalowski,0.04465,2,0.26491,0.1672
Krupp,Tchitcherine,0.04464,2,0.17817,0.1672
Broderick Slothrop,Greta Erdmann,0.04432,3,0.3873,0.1666
Alfonso Tracy,Franz Pökler,0.04412,1,0.2357,0.1662
Alfonso Tracy,Horst Achtfaden,0.04412,1,0.31623,0.1662
Horst Achtfaden,Lyle Bland,0.04412,1,0.16903,0.1662
Krupp,Seaman Bodine,0.04411,2,0.25198,0.1662
Max Schlepzig,Mickey Rooney,0.04396,2,0.4264,0.1659
Mickey Rooney,Tchitcherine,0.04396,2,0.33333,0.1659
Gustav,Tchitcherine,0.04361,2,0.21082,0.1652
Blodgett Waxwing,Lyle Bland,0.04353,3,0.42857,0.1651
Dennis Joint,Jessica Swanlake,0.04348,1,0.30151,0.165
Dennis Joint,Pirate Prentice,0.04348,1,0.2357,0.165
Floyd Perdoo,Jessica Swanlake,0.04348,1,0.30151,0.165
Floyd Perdoo,Pirate Prentice,0.04348,1,0.2357,0.165
Dr. Rollo Groast,Pirate Prentice,0.04335,3,0.28868,0.1648
Magda,Tchitcherine,0.04325,2,0.27217,0.1646
Felix,G. M. B. Haftung,0.04317,1,0.5,0.1644
G. M. B. Haftung,Hilde,0.04317,1,0.70711,0.1644
Broderick Slothrop,Gerhardt von Göll,0.04281,3,0.3,0.1637
Broderick Slothrop,Max Schlepzig,0.04281,3,0.40452,0.1637
Emil Säure Bummer,Max Schlepzig,0.04281,3,0.27273,0.1637
Bert Fibel,Weissmann / Blicero,0.0428,2,0.24618,0.1637
Leni Pökler,Tyrone Slothrop,0.04273,2,0.13188,0.1636
Ilse Pökler,Laszlo Jamf,0.04262,2,0.24618,0.1634
Laszlo Jamf,Leni Pökler,0.04262,2,0.19069,0.1634
Ernest Pudding,Reverend Paul de la Nuit,0.04255,1,0.18257,0.1632
Géza Rózsavölgyi,Reverend Paul de la Nuit,0.04255,1,0.2582,0.1632
Myron Grunton,Reverend Paul de la Nuit,0.04255,1,0.2582,0.1632
Reverend Paul de la Nuit,Tyrone Slothrop,0.04255,1,0.08513,0.1632
Horst Achtfaden,Marvy,0.04238,2,0.2582,0.1629
Horst Achtfaden,Tchitcherine,0.04238,2,0.21082,0.1629
Blodgett Waxwing,Tantivy Mucker-Maffick,0.04232,2,0.25198,0.1628
Franz Pökler,Tchitcherine,0.04226,2,0.15713,0.1627
Franz Pökler,Vaslav,0.04226,2,0.3849,0.1627
Jessica Swanlake,Laszlo Jamf,0.04224,2,0.12856,0.1626
Dr. Aaron Throwster,Reverend Paul de la Nuit,0.04211,2,0.57735,0.1624
Jerome / Jeremy,Roland,0.0421,2,0.37796,0.1624
Frau Gnahb,Webley Silvernail,0.04206,2,0.36515,0.1623
Ghislaine,Katje Borgesius,0.0419,2,0.32444,0.162
Ghislaine,Tantivy Mucker-Maffick,0.0419,2,0.4714,0.162
Ghislaine,Teddy Bloat,0.0419,2,0.4714,0.162
Ghislaine,Tyrone Slothrop,0.0419,2,0.20851,0.162
Edwin Treacle,Katje Borgesius,0.0417,2,0.2052,0.1616
Edwin Treacle,Pirate Prentice,0.0417,2,0.21082,0.1616
Jessica Swanlake,Nora Dodson-Truck,0.04167,2,0.34816,0.1615
Allen Lamplighter,Reverend Paul de la Nuit,0.04167,1,0.33333,0.1615
Carroll Eventyr,Reverend Paul de la Nuit,0.04167,1,0.2357,0.1615
Edwin Treacle,Reverend Paul de la Nuit,0.04167,1,0.2582,0.1615
Nora Dodson-Truck,Reverend Paul de la Nuit,0.04167,1,0.33333,0.1615
Peter Sachsa,Reverend Paul de la Nuit,0.04167,1,0.20412,0.1615
Reverend Paul de la Nuit,Walter Asch,0.04167,1,0.57735,0.1615
Roger Mexico,Walter Asch,0.04167,1,0.2357,0.1615
Frau Gnahb,Zhdaev,0.04158,2,0.63246,0.1614
Darlene,Ned Pointsman,0.04135,2,0.22361,0.1609
Darlene,Roger Mexico,0.04135,2,0.2357,0.1609
Pirate Prentice,Reverend Paul de la Nuit,0.04128,2,0.27217,0.1608
Roger Mexico,Webley Silvernail,0.04124,3,0.28868,0.1607
Enzian,Margherita Erdmann,0.0411,4,0.26375,0.1604
Ludwig,Max Schlepzig,0.04104,2,0.24618,0.1603
Peter Sachsa,Tantivy Mucker-Maffick,0.04102,3,0.35355,0.1603
Jessica Swanlake,Reverend Paul de la Nuit,0.04083,2,0.34816,0.1599
Dr. Aaron Throwster,Stephen Dodson-Truck,0.04082,1,0.20412,0.1599
Edwin Treacle,Stephen Dodson-Truck,0.04082,1,0.18257,0.1599
Emil Säure Bummer,Krupp,0.0408,3,0.34188,0.1599
Broderick Slothrop,Katje Borgesius,0.04075,3,0.30779,0.1597
Franz Pökler,Fritz (Pig-Hero assistant),0.04054,1,0.33333,0.1593
Fritz (Pig-Hero assistant),Roland,0.04054,1,0.5,0.1593
Fritz (Pig-Hero assistant),Tyrone Slothrop,0.04054,1,0.14744,0.1593
Gerhardt von Göll,Mindy Bloth,0.0404,1,0.22361,0.1591
Gerhardt von Göll,Richard M. Zhlubb,0.0404,1,0.22361,0.1591
Gottfried,Mindy Bloth,0.0404,1,0.37796,0.1591
Mindy Bloth,Richard M. Zhlubb,0.0404,1,1.0,0.1591
Mindy Bloth,Seaman Bodine,0.0404,1,0.33333,0.1591
Mindy Bloth,Tyrone Slothrop,0.0404,1,0.14744,0.1591
Mindy Bloth,Weissmann / Blicero,0.0404,1,0.2132,0.1591
Generaldirektor Smaragd,Max Schlepzig,0.04026,2,0.4264,0.1588
Joseph Ombindi,Katje Borgesius,0.04018,2,0.22942,0.1586
Gerhardt von Göll,Lyle Bland,0.03971,2,0.16903,0.1577
Gottfried,Ned Pointsman,0.0396,3,0.25355,0.1575
Marjorie,Tyrone Slothrop,0.03951,2,0.20851,0.1573
Marjorie,William Slothrop,0.03951,2,0.70711,0.1573
Ned Pointsman,Otto,0.03937,1,0.1291,0.157
Frau Gnahb,Seaman Bodine,0.03935,3,0.44721,0.157
Carroll Eventyr,Dr. Kevin Spectro,0.03922,1,0.20412,0.1567
Carroll Eventyr,Dromond,0.03922,1,0.28868,0.1567
Ernest Pudding,Weissmann / Blicero,0.03915,3,0.20226,0.1566
Andreas Orukambe,Gerhardt von Göll,0.03912,2,0.15811,0.1565
Clive Mossmoon,Géza Rózsavölgyi,0.03909,3,0.47434,0.1565
Osbie Feel,Roger Mexico,0.03902,2,0.21082,0.1563
Clive Mossmoon,Teddy Bloat,0.03896,1,0.11785,0.1562
Roland,Teddy Bloat,0.03896,1,0.16667,0.1562
Géza Rózsavölgyi,Lyle Bland,0.03889,2,0.33806,0.1561
Enzian,Ilse Pökler,0.03888,2,0.24077,0.156
Gottfried,Myron Grunton,0.03859,2,0.33806,0.1555
Greta Erdmann,Laszlo Jamf,0.03838,3,0.18464,0.155
Andre Omnopon,Ernest Pudding,0.03774,1,0.22361,0.1537
Andre Omnopon,Jerome / Jeremy,0.03774,1,0.26726,0.1537
Andre Omnopon,Jessica Swanlake,0.03774,1,0.2132,0.1537
Andre Omnopon,Krupp,0.03774,1,0.26726,0.1537
Ernest Pudding,Gustav,0.03774,1,0.14142,0.1537
Ernest Pudding,Krupp,0.03774,1,0.11952,0.1537
Ernest Pudding,Seaman Bodine,0.03774,1,0.10541,0.1537
Gustav,Krupp,0.03774,1,0.16903,0.1537
Jerome / Jeremy,Krupp,0.03774,1,0.14286,0.1537
Jessica Swanlake,Krupp,0.03774,1,0.11396,0.1537
Krupp,Roger Mexico,0.03774,1,0.08909,0.1537
Ned Pointsman,Thanatz,0.03758,3,0.19365,0.1534
Alfonso Tracy,Tyrone Slothrop,0.03754,2,0.20851,0.1533
Emil Säure Bummer,Franz Pökler,0.0375,2,0.20101,0.1532
Emil Säure Bummer,Géza Rózsavölgyi,0.0375,2,0.26968,0.1532
Franz Pökler,Géza Rózsavölgyi,0.0375,2,0.29814,0.1532
Broderick Slothrop,Maximilian,0.0375,1,0.44721,0.1532
Broderick Slothrop,Myrtle,0.0375,1,0.44721,0.1532
Katje Borgesius,Seaman Bodine,0.0373,2,0.15294,0.1528
Jerome / Jeremy,Tyrone Slothrop,0.03721,2,0.11146,0.1527
Clive Mossmoon,Katje Borgesius,0.03704,3,0.24333,0.1523
Blodgett Waxwing,Geli Tripping,0.03659,2,0.26726,0.1514
Blodgett Waxwing,Marvy,0.03659,2,0.21822,0.1514
Blodgett Waxwing,Tchitcherine,0.03659,2,0.17817,0.1514
Ernest Pudding,Katje Borgesius,0.03656,3,0.21764,0.1513
Greta Erdmann,Ludwig,0.03646,2,0.2357,0.1511
Katje Borgesius,Leni Pökler,0.03636,1,0.1026,0.1509
Leni Pökler,Stephen Dodson-Truck,0.03636,1,0.18257,0.1509
Laszlo Jamf,Ludwig,0.03583,2,0.17408,0.1498
Charles,Darlene,0.03571,1,0.35355,0.1496
Charles,Tantivy Mucker-Maffick,0.03571,1,0.2357,0.1496
Charles,Teddy Bloat,0.03571,1,0.2357,0.1496
Charles,Tyrone Slothrop,0.03571,1,0.10426,0.1496
Darlene,Tantivy Mucker-Maffick,0.03571,1,0.16667,0.1496
