part_index,episode_index,episode_id,episode_label,word_count,paragraph_count,slothrop_mentions_total,slothrop_mentions_per_1k_words,slothrop_paragraph_count,slothrop_paragraph_coverage,slothrop_present,slothrop_canonical_mentions,slothrop_alias_mentions,slothrop_canonical_share,slothrop_alias_share,slothrop_alias_diversity,slothrop_alias_effective_n,slothrop_surface_group_count,slothrop_human_mention_share,slothrop_human_rank_within_episode,slothrop_is_top_character,slothrop_orbit_character_count,slothrop_orbit_total_mentions,slothrop_orbit_effective_n,slothrop_top_cocharacter,slothrop_top_cocharacter_count,slothrop_absence_run_index,slothrop_absence_run_length_total
4,62,4.01,Part 4 Episode 1 (4.01),3391,40,12,3.5388,12,0.3000,yes,11,1,0.9167,0.0833,1,1.4118,3,0.3158,1,yes,12,26,6.7600,Pirate Prentice,8,0,0
4,63,4.02,Part 4 Episode 2 (4.02),6077,115,10,1.6455,10,0.0870,yes,10,0,1.0000,0.0000,0,1.0000,1,0.0694,5,no,17,134,4.8114,Roger Mexico,52,0,0
4,64,4.03,Part 4 Episode 3 (4.03),7076,75,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
4,65,4.04,Part 4 Episode 4 (4.04),3341,61,9,2.6938,9,0.1475,yes,9,0,1.0000,0.0000,0,1.0000,1,0.2250,2,no,6,31,3.7393,Weissmann / Blicero,11,0,0
4,66,4.05,Part 4 Episode 5 (4.05),4811,55,1,0.2079,1,0.0182,yes,1,0,1.0000,0.0000,0,1.0000,1,0.0133,6,no,11,74,2.9536,Thanatz,37,0,0
4,67,4.06,Part 4 Episode 6 (4.06),11649,159,31,2.6612,31,0.1950,yes,31,0,1.0000,0.0000,0,1.0666,2,0.3875,1,yes,17,49,7.4334,Myrtle,12,0,0
4,68,4.07,Part 4 Episode 7 (4.07),2358,69,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,1
4,69,4.08,Part 4 Episode 8 (4.08),4936,91,1,0.2026,1,0.0110,yes,1,0,1.0000,0.0000,0,1.0000,1,0.0094,12,no,13,105,5.9498,Roger Mexico,31,0,0
4,70,4.09,Part 4 Episode 9 (4.09),3372,37,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,1,3
4,71,4.10,Part 4 Episode 10 (4.10),4084,60,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,2,3
4,72,4.11,Part 4 Episode 11 (4.11),780,8,0,0.0000,0,0.0000,no,0,0,0.0000,0.0000,0,0.0000,0,0.0000,0,no,0,0,0.0000,,0,3,3
4,73,4.12,Part 4 Episode 12 (4.12),11552,170,16,1.3850,16,0.0941,yes,14,2,0.8750,0.1250,1,1.4713,3,0.1616,2,no,20,83,9.5284,Weissmann / Blicero,19,0,0
